//=========================================================================================================
// OBS: You need to sinchronize with MonsterSetBase to set the coordinates for every monster.
//=========================================================================================================
0
//Event Blood Castle: 6 levels (0 ~ 5)
//Stage 0 = bridge
//Stage 3 = statue
//MaxRegenTime = In Seconds
//Level	Stage	Monster	MaxRegenTime
0	0	84	1
0	0	85	1
0	0	86	1
0	0	87	1
0	0	88	1
0	3	89	1

1	0	90	1
1	0	91	1
1	0	92	1
1	0	93	1
1	0	94	1
1	3	95	1

2	0	96	1
2	0	97	1
2	0	98	1
2	0	99	1
2	0	111	1
2	3	112	1

3	0	113	1
3	0	114	1
3	0	115	1
3	0	116	1
3	0	117	1
3	3	118	1

4	0	119	1
4	0	120	1
4	0	121	1
4	0	122	1
4	0	123	1
4	3	124	1

5	0	125	1
5	0	126	1
5	0	127	1
5	0	128	1
5	0	129	1
5	3	130	1
end

1
//Event Devil Square: 4 Levels (0 ~ 3)
//Stage 0: First Spawn
//Stage 1: Second Spawn
//Stage 2: Third Spawn
//Stage 3: Fourth Spawn
//MaxRegenTime = In Seconds
//Level	Stage	Monster	MaxRegenTime
0	0	17	1
0	0	15	1
0	1	5	1
0	1	16	1
0	2	9	1
0	2	10	1
0	3	18	1

1	0	36	1
1	0	39	1
1	1	34	1
1	1	41	1
1	2	40	1
1	2	35	1
1	3	38	1

2	0	45	1
2	0	46	1
2	1	37	1
2	1	51	1
2	2	52	1
2	2	48	1
2	3	49	1

3	0	64	1
3	0	65	1
3	1	69	1
3	1	71	1
3	2	61	1
3	2	70	1
3	3	63	1
end
