//======================================//
//		NPCS			//
//======================================//

//=========================================================================================================================================
// Lorencia
//=========================================================================================================================================
0
//Mob	MapNum	Range	PosX	PosY	Direct	Name
255	0	0	123	135	1	// Lumen the Barmaid
254	0	0	118	113	3	// Pasi the Mage
251	0	0	116	141	3	// Hanzo the Blacksmith
248	0	0	6	145	2	// Wandering Merchant Martin
250	0	0	183	137	2	// Wandering Merchant Peddler
236	0	0	130	127	3	// Golden Archer
240	0	0	146	110	3	// Safety Guardian
240	0	0	147	145	1	// Safety Guardian
249	0	10	131	88	1	// Berdysh Guard
249	0	20	173	125	3	// Berdysh Guard
249	0	20	94	125	7	// Berdysh Guard
249	0	20	94	130	7	// Berdysh Guard
249	0	30	131	148	1	// Berdysh Guard
end

//=========================================================================================================================================
// Devias
//=========================================================================================================================================
0
//Mob	MapNum	Range	PosX	PosY	Direct	Name
244	2	0	226	25	3	// Caren the Barmaid
245	2	0	225	41	3	// Wizard Izabel
246	2	0	186	47	3	// Weapons Merchant Zienna
235	2	0	183	32	3	// Sebina the Priest
241	2	0	214	47	2	// Captain Lorence
236	2	0	226	66	1	// Golden Archer
233	2	0	208	30	1	// Messenger of Archangel
240	2	0	218	63	2	// Safety Guardian
end

//=========================================================================================================================================
//Noria
//=========================================================================================================================================
0
//Mob	MapNum	Range	PosX	PosY	Direct	Name
242	3	0	173	125	1	// Elf Lala
243	3	0	195	124	2	// Eo the Craftsman
238	3	0	180	103	1	// Chaos Goblin
236	3	0	169	109	3	// Golden Archer
237	3	0	171	105	3	// Charon
240	3	0	172	96	3	// Safety Guardian
end

//======================================//
//		TRAPS			//
//======================================//

//=========================================================================================================================================
// Dungeon
//=========================================================================================================================================
0
//Mob	MapNum	Range	PosX	PosY	Direct	Name
100	1	0	117	99	1	// Lance
100	1	0	120	99	1	// Lance
100	1	0	123	99	1	// Lance
100	1	0	126	99	1	// Lance
100	1	0	136	95	1	// Lance
100	1	0	139	95	1	// Lance
100	1	0	166	12	1	// Lance
100	1	0	172	12	1	// Lance
100	1	0	177	103	1	// Lance
100	1	0	178	12	1	// Lance
100	1	0	180	103	1	// Lance
100	1	0	183	103	1	// Lance
100	1	0	186	103	1	// Lance
100	1	0	186	151	3	// Lance
100	1	0	189	103	1	// Lance
100	1	0	193	33	1	// Lance
100	1	0	196	33	1	// Lance
100	1	0	198	130	1	// Lance
100	1	0	202	150	1	// Lance
100	1	0	202	93	1	// Lance
100	1	0	205	93	1	// Lance
100	1	0	227	61	1	// Lance
100	1	0	229	93	1	// Lance
100	1	0	232	37	3	// Lance
100	1	0	232	40	3	// Lance
100	1	0	232	46	3	// Lance
100	1	0	232	93	1	// Lance
101	1	0	10	26	1	// Iron Stick
101	1	0	11	26	1	// Iron Stick
101	1	0	128	212	1	// Iron Stick
101	1	0	130	213	1	// Iron Stick
101	1	0	143	214	1	// Iron Stick
101	1	0	155	230	5	// Iron Stick
101	1	0	19	19	1	// Iron Stick
101	1	0	22	24	1	// Iron Stick
101	1	0	23	24	1	// Iron Stick
101	1	0	23	28	1	// Iron Stick
101	1	0	23	29	1	// Iron Stick
101	1	0	24	4	1	// Iron Stick
101	1	0	24	5	1	// Iron Stick
101	1	0	27	11	1	// Iron Stick
101	1	0	27	12	1	// Iron Stick
101	1	0	27	21	1	// Iron Stick
101	1	0	33	9	1	// Iron Stick
101	1	0	35	9	1	// Iron Stick
101	1	0	39	16	1	// Iron Stick
101	1	0	39	17	1	// Iron Stick
101	1	0	39	18	1	// Iron Stick
101	1	0	48	193	1	// Iron Stick
101	1	0	49	193	1	// Iron Stick
101	1	0	90	164	1	// Iron Stick
101	1	0	91	164	1	// Iron Stick
101	1	0	92	164	1	// Iron Stick
102	1	0	169	12	1	// Fire
102	1	0	175	12	1	// Fire
102	1	0	45	224	3	// Fire
102	1	0	66	71	3	// Fire
102	1	0	80	61	1	// Fire
end

//=========================================================================================================================================
// LostTower
//=========================================================================================================================================
0
//Mob	MapNum	Range	PosX	PosY	Direct	Name
103	4	0	100	185	3	// Meteorite
103	4	0	100	225	3	// Meteorite
103	4	0	101	185	3	// Meteorite
103	4	0	101	225	3	// Meteorite
103	4	0	102	185	3	// Meteorite
103	4	0	103	185	3	// Meteorite
103	4	0	107	242	3	// Meteorite
103	4	0	107	243	3	// Meteorite
103	4	0	107	244	3	// Meteorite
103	4	0	110	227	3	// Meteorite
103	4	0	111	227	3	// Meteorite
103	4	0	112	227	3	// Meteorite
103	4	0	113	227	3	// Meteorite
103	4	0	120	208	3	// Meteorite
